"","date","time","growth_rate","outbreak","id","country","state","new_confirmed"
"1",2021-11-19,1,0.0105667583731586,"Omicron","067b58d8","South Africa","Mpumalanga",28
"2",2021-11-20,2,0.0353877553458603,"Omicron","067b58d8","South Africa","Mpumalanga",34
"3",2021-11-21,3,0.0347349224434345,"Omicron","067b58d8","South Africa","Mpumalanga",18
"4",2021-11-22,4,0.0299219421106618,"Omicron","067b58d8","South Africa","Mpumalanga",10
"5",2021-11-23,5,0.0299219421106618,"Omicron","067b58d8","South Africa","Mpumalanga",NA
"6",2021-11-24,6,0.0422577268198636,"Omicron","067b58d8","South Africa","Mpumalanga",26
"7",2021-11-25,7,0.0742479875729689,"Omicron","067b58d8","South Africa","Mpumalanga",55
"8",2021-11-26,8,0.117899054735187,"Omicron","067b58d8","South Africa","Mpumalanga",97
"9",2021-11-27,9,0.143484478201239,"Omicron","067b58d8","South Africa","Mpumalanga",97
"10",2021-11-28,10,0.160371498834268,"Omicron","067b58d8","South Africa","Mpumalanga",89
"11",2021-11-29,11,0.162463167646019,"Omicron","067b58d8","South Africa","Mpumalanga",53
"12",2021-11-30,12,0.189825056824652,"Omicron","067b58d8","South Africa","Mpumalanga",138
"13",2021-12-01,13,0.227734773256499,"Omicron","067b58d8","South Africa","Mpumalanga",375
"14",2021-12-02,14,0.250817127334593,"Omicron","067b58d8","South Africa","Mpumalanga",452
"15",2021-12-03,15,0.278299227044251,"Omicron","067b58d8","South Africa","Mpumalanga",661
"16",2021-12-04,16,0.291879149452203,"Omicron","067b58d8","South Africa","Mpumalanga",743
"17",2021-12-05,17,0.26049936634464,"Omicron","067b58d8","South Africa","Mpumalanga",387
"18",2021-12-06,18,0.236421368489224,"Omicron","067b58d8","South Africa","Mpumalanga",339
"19",2021-12-07,19,0.224256866521607,"Omicron","067b58d8","South Africa","Mpumalanga",545
"20",2021-12-08,20,0.215795061988497,"Omicron","067b58d8","South Africa","Mpumalanga",1103
"21",2021-12-09,21,0.199646293095666,"Omicron","067b58d8","South Africa","Mpumalanga",1146
"22",2021-12-10,22,0.16923047610473,"Omicron","067b58d8","South Africa","Mpumalanga",958
"23",2021-12-11,23,0.143168403870963,"Omicron","067b58d8","South Africa","Mpumalanga",978
"24",2021-12-12,24,0.143168403870963,"Omicron","067b58d8","South Africa","Mpumalanga",NA
"25",2021-12-13,25,0.111493738910242,"Omicron","067b58d8","South Africa","Mpumalanga",617
"26",2021-12-14,26,0.117258100033766,"Omicron","067b58d8","South Africa","Mpumalanga",1088
"27",2021-12-15,27,0.117258100033766,"Omicron","067b58d8","South Africa","Mpumalanga",NA
"28",2021-12-16,28,0.0689614983627898,"Omicron","067b58d8","South Africa","Mpumalanga",1104
"29",2021-12-17,29,-0.0202521087352215,"Omicron","067b58d8","South Africa","Mpumalanga",2
"30",2021-12-18,30,-0.0405034172287335,"Omicron","067b58d8","South Africa","Mpumalanga",622
"31",2021-12-19,31,-0.0220706138948839,"Omicron","067b58d8","South Africa","Mpumalanga",921
"32",2021-12-20,32,-0.0404266208090515,"Omicron","067b58d8","South Africa","Mpumalanga",338
"33",2021-12-21,33,-0.0352630132395198,"Omicron","067b58d8","South Africa","Mpumalanga",562
"34",2021-12-22,34,-0.0163904226118318,"Omicron","067b58d8","South Africa","Mpumalanga",1114
"35",2021-12-23,35,-0.0206803766265016,"Omicron","067b58d8","South Africa","Mpumalanga",836
"36",2021-12-24,36,-0.0263855109151841,"Omicron","067b58d8","South Africa","Mpumalanga",755
"37",2021-12-25,37,-0.0347255959302358,"Omicron","067b58d8","South Africa","Mpumalanga",646
"38",2021-12-26,38,-0.0731356428295389,"Omicron","067b58d8","South Africa","Mpumalanga",225
"39",2021-12-27,39,-0.0784241010937272,"Omicron","067b58d8","South Africa","Mpumalanga",264
"40",2021-11-17,1,0.0722191293008687,"Omicron","1f606999","South Africa","Limpopo",38
"41",2021-11-18,2,0.0779566182337107,"Omicron","1f606999","South Africa","Limpopo",19
"42",2021-11-19,3,0.0720694943054433,"Omicron","1f606999","South Africa","Limpopo",16
"43",2021-11-20,4,0.0806405536423841,"Omicron","1f606999","South Africa","Limpopo",22
"44",2021-11-21,5,0.0637062440074007,"Omicron","1f606999","South Africa","Limpopo",7
"45",2021-11-22,6,0.065989208790292,"Omicron","1f606999","South Africa","Limpopo",9
"46",2021-11-23,7,0.065989208790292,"Omicron","1f606999","South Africa","Limpopo",NA
"47",2021-11-24,8,0.0816708741362035,"Omicron","1f606999","South Africa","Limpopo",27
"48",2021-11-25,9,0.128925555551132,"Omicron","1f606999","South Africa","Limpopo",75
"49",2021-11-26,10,0.156998818509299,"Omicron","1f606999","South Africa","Limpopo",86
"50",2021-11-27,11,0.160021467603162,"Omicron","1f606999","South Africa","Limpopo",60
"51",2021-11-28,12,0.161113603692551,"Omicron","1f606999","South Africa","Limpopo",51
"52",2021-11-29,13,0.160558025262184,"Omicron","1f606999","South Africa","Limpopo",33
"53",2021-11-30,14,0.227940232197952,"Omicron","1f606999","South Africa","Limpopo",206
"54",2021-12-01,15,0.241538744498039,"Omicron","1f606999","South Africa","Limpopo",271
"55",2021-12-02,16,0.260930736428364,"Omicron","1f606999","South Africa","Limpopo",419
"56",2021-12-03,17,0.269022496313149,"Omicron","1f606999","South Africa","Limpopo",497
"57",2021-12-04,18,0.282446867038999,"Omicron","1f606999","South Africa","Limpopo",637
"58",2021-12-05,19,0.258574512059178,"Omicron","1f606999","South Africa","Limpopo",361
"59",2021-12-06,20,0.223202110968808,"Omicron","1f606999","South Africa","Limpopo",186
"60",2021-12-07,21,0.212209538946727,"Omicron","1f606999","South Africa","Limpopo",406
"61",2021-12-08,22,0.202849793247194,"Omicron","1f606999","South Africa","Limpopo",858
"62",2021-12-09,23,0.196399164975445,"Omicron","1f606999","South Africa","Limpopo",1056
"63",2021-12-10,24,0.172932745375748,"Omicron","1f606999","South Africa","Limpopo",921
"64",2021-12-11,25,0.130736926732791,"Omicron","1f606999","South Africa","Limpopo",553
"65",2021-12-12,26,0.130736926732791,"Omicron","1f606999","South Africa","Limpopo",NA
"66",2021-12-13,27,0.0907771116770974,"Omicron","1f606999","South Africa","Limpopo",328
"67",2021-12-14,28,0.0994284533012549,"Omicron","1f606999","South Africa","Limpopo",748
"68",2021-12-15,29,0.0994284533012549,"Omicron","1f606999","South Africa","Limpopo",NA
"69",2021-12-16,30,0.048139459662329,"Omicron","1f606999","South Africa","Limpopo",687
"70",2021-12-17,31,-0.0273440596582228,"Omicron","1f606999","South Africa","Limpopo",7
"71",2021-12-18,32,-0.0404768397265343,"Omicron","1f606999","South Africa","Limpopo",498
"72",2021-12-19,33,-0.0307459345819013,"Omicron","1f606999","South Africa","Limpopo",573
"73",2021-12-20,34,-0.0368742200984596,"Omicron","1f606999","South Africa","Limpopo",256
"74",2021-12-21,35,-0.00467689035120733,"Omicron","1f606999","South Africa","Limpopo",603
"75",2021-12-22,36,0.00253489994513635,"Omicron","1f606999","South Africa","Limpopo",827
"76",2021-12-23,37,0.00164551989294075,"Omicron","1f606999","South Africa","Limpopo",763
"77",2021-12-24,38,-0.00400157606687816,"Omicron","1f606999","South Africa","Limpopo",697
"78",2021-12-25,39,-0.0213106385850858,"Omicron","1f606999","South Africa","Limpopo",487
"79",2021-11-24,1,0.0195542639662646,"Omicron","32e8e3dd","South Africa","Western Cape",61
"80",2021-11-25,2,0.0525239054383514,"Omicron","32e8e3dd","South Africa","Western Cape",98
"81",2021-11-26,3,0.0888944286487956,"Omicron","32e8e3dd","South Africa","Western Cape",139
"82",2021-11-27,4,0.105899046775964,"Omicron","32e8e3dd","South Africa","Western Cape",121
"83",2021-11-28,5,0.129589441257442,"Omicron","32e8e3dd","South Africa","Western Cape",148
"84",2021-11-29,6,0.153509431245906,"Omicron","32e8e3dd","South Africa","Western Cape",119
"85",2021-11-30,7,0.19889942312438,"Omicron","32e8e3dd","South Africa","Western Cape",275
"86",2021-12-01,8,0.229493268018757,"Omicron","32e8e3dd","South Africa","Western Cape",626
"87",2021-12-02,9,0.24684832259941,"Omicron","32e8e3dd","South Africa","Western Cape",727
"88",2021-12-03,10,0.264982625698135,"Omicron","32e8e3dd","South Africa","Western Cape",957
"89",2021-12-04,11,0.267244769327453,"Omicron","32e8e3dd","South Africa","Western Cape",1017
"90",2021-12-05,12,0.253439919319088,"Omicron","32e8e3dd","South Africa","Western Cape",807
"91",2021-12-06,13,0.221131954254069,"Omicron","32e8e3dd","South Africa","Western Cape",356
"92",2021-12-07,14,0.215429656879329,"Omicron","32e8e3dd","South Africa","Western Cape",805
"93",2021-12-08,15,0.210695694526051,"Omicron","32e8e3dd","South Africa","Western Cape",1899
"94",2021-12-09,16,0.204703184904159,"Omicron","32e8e3dd","South Africa","Western Cape",2195
"95",2021-12-10,17,0.189811026553922,"Omicron","32e8e3dd","South Africa","Western Cape",2069
"96",2021-12-11,18,0.160063779234417,"Omicron","32e8e3dd","South Africa","Western Cape",1534
"97",2021-12-12,19,0.160063779234417,"Omicron","32e8e3dd","South Africa","Western Cape",NA
"98",2021-12-13,20,0.152346472457635,"Omicron","32e8e3dd","South Africa","Western Cape",1464
"99",2021-12-14,21,0.183723681473733,"Omicron","32e8e3dd","South Africa","Western Cape",3144
"100",2021-12-15,22,0.183723681473733,"Omicron","32e8e3dd","South Africa","Western Cape",NA
"101",2021-12-16,23,0.14248391858943,"Omicron","32e8e3dd","South Africa","Western Cape",3655
"102",2021-12-17,24,0.0600652824558499,"Omicron","32e8e3dd","South Africa","Western Cape",1
"103",2021-12-18,25,0.0494842973212761,"Omicron","32e8e3dd","South Africa","Western Cape",2959
"104",2021-12-19,26,0.0475585425142289,"Omicron","32e8e3dd","South Africa","Western Cape",2852
"105",2021-12-20,27,0.0423271374049985,"Omicron","32e8e3dd","South Africa","Western Cape",1630
"106",2021-12-21,28,0.0685208970946761,"Omicron","32e8e3dd","South Africa","Western Cape",3324
"107",2021-12-22,29,0.0631937314597482,"Omicron","32e8e3dd","South Africa","Western Cape",4611
"108",2021-12-23,30,0.056798584806966,"Omicron","32e8e3dd","South Africa","Western Cape",4597
"109",2021-12-24,31,0.0541769787737303,"Omicron","32e8e3dd","South Africa","Western Cape",4637
"110",2021-12-25,32,0.0385507812192876,"Omicron","32e8e3dd","South Africa","Western Cape",3749
"111",2021-12-26,33,-0.0020231394753595,"Omicron","32e8e3dd","South Africa","Western Cape",1571
"112",2021-12-27,34,-0.0411381906299487,"Omicron","32e8e3dd","South Africa","Western Cape",645
"113",2021-12-28,35,-0.0375847578468492,"Omicron","32e8e3dd","South Africa","Western Cape",1819
"114",2021-12-29,36,-0.0566210351726736,"Omicron","32e8e3dd","South Africa","Western Cape",1964
"115",2021-12-30,37,-0.0453691641388896,"Omicron","32e8e3dd","South Africa","Western Cape",3331
"116",2021-12-31,38,-0.0350937952909442,"Omicron","32e8e3dd","South Africa","Western Cape",3121
"117",2022-01-01,39,-0.0360587179060313,"Omicron","32e8e3dd","South Africa","Western Cape",2522
"118",2021-11-24,1,0.000706428507144717,"Omicron","4a1c930e","South Africa","Eastern Cape",20
"119",2021-11-25,2,0.0301757177217236,"Omicron","4a1c930e","South Africa","Eastern Cape",29
"120",2021-11-26,3,0.0432681648583811,"Omicron","4a1c930e","South Africa","Eastern Cape",25
"121",2021-11-27,4,0.0496687199556414,"Omicron","4a1c930e","South Africa","Eastern Cape",22
"122",2021-11-28,5,0.059963668702938,"Omicron","4a1c930e","South Africa","Eastern Cape",20
